idCurp,CURP
84,1MBSLKFJ9PH6M
85,I8VGC3OLN9OPN
86,9BUWWWXFRX4Z1
87,P8QYOXJ1JRTYX
88,QSNVCJZXE9YPF
89,5C2TRIP2JYY89
90,II9XR7J78LBFX
91,C6I7WCX8PTTED
92,KW94BCKMKIQ6Y1
93,S3SMPWDH8I3PZX
94,THSRELI5EYZXXY
95,GLJLN8I96IZZ6C
96,HA6589NAKCLOCR
97,YT8YOW986M9FDH
98,W4K6HELZ1HKD78
99,VPCFF24HLDGAEO
100,ILUJGG9QE8IJF
101,OLT9YRXFWQD8O
102,HJ6WOBIK0U6GF
103,HGIPNEX4D9IVU
104,U3GHLW3PM7LDV
105,V9X5JHG22801P
106,S5UECO6UFJTUL
107,ITXDTMW0RKJP0
108,U7C2UH2VN2NBL
109,O1Q307XZ6ELHO
110,33CJDY3L5XIQJ
111,CS860ORXUJLK9
112,R02GG799LJWTV
113,EO1J08MY7TLR0
114,PF3FB33NNYSEI
115,0FUGAXNIEF0CA
116,ZEACKOEV77QZV
117,WBKU5F5WWTA40
118,QDH5DL189ISOW
119,BDFVA0N70K7Y8
120,FFWZXFXKN9NI7
121,3WXTV5AAWMI75
122,7VMM24LFY12Q1
123,VMC8J4VAC7BOM
124,0ZJCP5XOYQHO3
125,I6RD4ZQPLCR8C
126,HGWTR8PF26DIQ
127,KEJ9X0FA8MQR3
128,IFOE2TQ2MPLAE
129,LG16W9SZA7ZT5
130,RSW79SGYFHPS1
131,O0E7IABLQ6SU2
132,MDUF2WO42LAOS
133,NQSKZIG49EUUH
134,7FMS9HQI1RQ7T
135,J47GZDFDVTI8J
136,JVGHH5LCLC32Z
137,T534VZUK1EMEL
138,1A3451KNAWD40
139,Z6K8KNUPI03EJ
140,VY1ILIRRSH7BA
141,I6S8J2KGYA59L
142,A7EOHXO3VBYCF
143,OIGZ0PQ6WYX67
144,1UE4LG0IGC39X
145,LUA3Q23NSW0V5
146,H0B4XPKWBFKVL
147,9EM5VDEDQKXW5
148,23ZSFVWSMP8IW
149,4WB5BPJTXC80E
150,AMPU5GZORV323
151,CTUUD7T4Z9390
152,UY8IT414NM99B
153,CDZ58U6S5YVL5
154,DPDFRAL7QOEDW
155,F4TQM7X68D2VD
156,OQW9Q5SUFDUSB
157,FKRGXWGS3V4XV
158,2Y3VHLKW5BW29
159,4SJ60Q4BUHSHZ
160,4ARB1GR56YK3O
161,GDP5YQYKGREDT
162,LZ628LUKIWLTB
163,WN80XESN0ILB4
164,PQLBPOSVBW2OK
165,Z3KY02RCGO79O
166,ZE99OXZC5OSAW
167,HKPVLZ03R866R
168,PE6F4HBKHCJAW
169,XDFXEMLI68ZU7
170,5Q2H1SF4KFJ6L
171,XPMT2I8ZMKFZZ
172,QYPVF5BNW35H1
173,WM9Z36UQ1HGJ8
174,74A7GZR6C5PVM
175,XHKZXFPT29YEE
176,LBWBU4UACQBDK
177,SFBKO6T6IEQB1
178,8R74NA8E4MIGD
179,E98R3OB4EGDVK
180,3TCFP0UFG5RZR
181,VG4KF1MZ0DGQ2
182,VMMQKAI3MH6Y7
183,3GIUVN8YZSFOA
184,6V4DL4M83S5L1
185,E2EKC40L7Z7R1
186,ZAWV52TDYJ7GW
187,9C568951517IX
188,X6S5WKJ8E84M1
189,KEKA88PPRO5WP
190,8XFK0J0ZZKZ4T
191,7Q1FWC901UCCR
192,6OXXP36X5K7AZ
193,3SCZML48RK08B
194,9TUXGVCP3N2HC
195,6GGDFDIQNYTQ4
196,JE5YBAZ4ILRRK
197,L6CNA491A6BZK
198,X44G82OPO2XT6
199,G0Y9V4QAWU6JL
200,1J832F9HJE8BD
201,RX1RBY71V2L3J
202,BMUVPK0IA8XKF
203,7FKWYHVNA7FXF
204,0X54ZXIEJ57QH
205,1L0VJGN2SM9P7
206,9606X4WAPV57K
207,SKAMCIZRC92MG
208,B93912EPO5QDJ
209,6U0MUNTVVM5ML
210,8IARA9172NORD
211,F9F2X7JD2VMWV
212,A5AEXF9ZS3VE5
213,2Q98Z4QG6KYS8
214,M4UPIBEWNJVWK
215,0RBSLDW972NP6
216,1ZRHMMD5SPBLX
217,720WTDHD4CZ7J
218,46VJMV4RI4T04
219,EUO4I5VA8IYH9
220,SDRQDGMDXQ74X
221,026SQ0OENX3EA
222,1ICL2IT8PGLE3
223,32ANTEF4BZTCH
224,F48FEFIEWRYKU
225,PZ63NF9HS3T33
226,ZPWNFGFH02YMT
227,7BF2V2YLTKLX5
228,P2Q1L43V30IQ1
229,KOKBNN3SUDYVI
230,60I1W3BC2RKS5
231,8CZXDLL379IK4
232,9FQGZH1HP1IM8
233,7RO9EQ3JTUJDU
234,MNRXB0GI5HE4W
235,S5MSZN60KP2WD
236,E68VNNTC0YIQZ
237,N1VAO75KMTK1X
238,RWTX7B81F3DMQ
239,ZXMNWWNW9E2ET
240,CYAPKWFSZHHRC
241,BH0W976PLTFB9
242,GS1EJJHA7218L
243,RR9EW3WNUYHMC
244,91T05KMDKQ8FA
245,91P0ZMTKN6ZV3
246,7VQ96SBWJIU96
247,HYKCF5727REIE
248,KKWPCTTUG9PAP
249,S07P3YA8N28AP
250,YFSCFCLNW5YMH
251,9MXCGQLFCQL8I
252,OPS61EHSSSE7D
253,LIPPBPXZH6MSW
254,ZHDN59LBUWS0B
255,6DZ2G8ZUKSOKA
256,E8ZS3ZN2JXU5J
257,CCHJIJ1PR5UX0
258,23MJUE0JWZLN9
259,N8VGBN7OFB0A4
260,W63BZTTQI8JNJ
261,2WRWF2J9XBQ24
262,MJR4SE5R2SBI2
263,QQLFQUE3GVDVE
264,DEZ91ND8C7HI7
265,9MLRCFJB9EYN2
266,E7CB8885UN56U
267,IWN2408YOZY82
268,AR3VT0X1MMFF1
269,TYY9AJ5J4DPHO
270,96W8BI94RF3CA
271,9ZKXEP61NRS2F
272,KJ3PGD0KKAH6G
273,PSY3X90MK7BD6
274,BGEI6LNTX597A
275,CYHQ9JQHGZZ1W
276,3V9F8TCJ0WQMY
277,GQ9WUO40Y8JKU
278,SOY3SEQY7E83B
279,915HSQ68V0330
280,1OUJYX901R4I0
281,6ZPOIXIZ3XAEA
282,2WEUAU38WKB0L
283,8PU0E1Q9FLBD1
284,06M5W2LCVD49H
285,6GEJIQCJHGYV3
286,VHQOU5UJJ9FLV
287,9T78MU8QT9KFE
288,CNG4ET2TKPFOL
289,R15YQ4FJ24QI6
290,4M21Z9A6AAIA7
291,BUJVBACXNRCW7
292,6Q9PIQ9EXRK9S
293,Z3I7G8INBKILE
294,CGTD1J04S353Y
295,B5LU2KH1145EL
296,7NN4H4960GUI5
297,SZBSK7WXQIYO4
298,N2KYKQPOUJRFW
299,2KUJXFACRQM73
300,G71TQM5SY8S7E
